GID_0,NAME_0,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,AEZ_id
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.6_1,Dawro,ETH.10.6.5_1,Tercha Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.6_1,Dawro,ETH.10.6.6_1,Tocha,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.7_1,Derashe Special,ETH.10.7.1_1,Derashe,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.1_1,Abobo ,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.2_1,Arba Minch Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.3_1,Arba Minch Zuriya,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.4_1,Ayida,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.5_1,Bonke,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.6_1,Boreda,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.7_1,Chencha,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.8_1,Demba Gofa,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.9_1,Deramalo,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.10_1,Dita,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.11_1,Gezegofa,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.12_1,Kemba,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.13_1,Kucha,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.14_1,Melekoza,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.15_1,Merab Abaya,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.16_1,Sawla Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.8_1,Gamo Gofa,ETH.10.8.17_1,Uba Debre Tsehay,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.9_1,Gedeo,ETH.10.9.1_1,Bule,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.9_1,Gedeo,ETH.10.9.2_1,Dila Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.9_1,Gedeo,ETH.10.9.3_1,Dila Zuria,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.9_1,Gedeo,ETH.10.9.4_1,Gedeb,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.9_1,Gedeo,ETH.10.9.5_1,Kochire,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.9_1,Gedeo,ETH.10.9.6_1,Wenago,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.9_1,Gedeo,ETH.10.9.7_1,Yergachefe Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.9_1,Gedeo,ETH.10.9.8_1,Yirgachefe Woreda,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.1_1,Abeshge,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.2_1,Butajira Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.3_1,Cheha,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.4_1,Endegagn,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.5_1,Enemorna Ener,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.6_1,Ezha,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.7_1,Gedebano Gutazer Wellene,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.8_1,Geta,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.9_1,Gumer,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.10_1,Kebena,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.11_1,Mareko,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.12_1,Mesekan,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.13_1,Muhor Na Aklil,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.14_1,Sodo,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.10_1,Gurage,ETH.10.10.15_1,Welkite Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.11_1,Hadiya,ETH.10.11.1_1,Analimo,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.11_1,Hadiya,ETH.10.11.2_1,Duna,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.11_1,Hadiya,ETH.10.11.3_1,Gibe,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.11_1,Hadiya,ETH.10.11.4_1,Gomibora,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.11_1,Hadiya,ETH.10.11.5_1,Hosaena Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.11_1,Hadiya,ETH.10.11.6_1,Lemo,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.11_1,Hadiya,ETH.10.11.7_1,Merab Badwacho,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.11_1,Hadiya,ETH.10.11.8_1,Misha,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.11_1,Hadiya,ETH.10.11.9_1,Misrak Badawacho,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.11_1,Hadiya,ETH.10.11.10_1,Shashago,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.11_1,Hadiya,ETH.10.11.11_1,Soro,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.12_1,Hawassa City Transitional Administration,ETH.10.12.1_1,Hawassa City Administration,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.13_1,Keffa,ETH.10.13.1_1,Adyo,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.13_1,Keffa,ETH.10.13.2_1,Bitta,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.13_1,Keffa,ETH.10.13.3_1,Bonga Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.13_1,Keffa,ETH.10.13.4_1,Chena,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.13_1,Keffa,ETH.10.13.5_1,Cheta,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.13_1,Keffa,ETH.10.13.6_1,Decha,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.13_1,Keffa,ETH.10.13.7_1,Gesha Deka,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.13_1,Keffa,ETH.10.13.8_1,Gewata,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.13_1,Keffa,ETH.10.13.9_1,Gimbo,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.13_1,Keffa,ETH.10.13.10_1,Sayilem,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.13_1,Keffa,ETH.10.13.11_1,Telo,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.14_1,Kembata Tembaro,ETH.10.14.1_1,Angacha,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.14_1,Kembata Tembaro,ETH.10.14.2_1,Deniboya,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.14_1,Kembata Tembaro,ETH.10.14.3_1,Doyo Gena,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.14_1,Kembata Tembaro,ETH.10.14.4_1,Durame Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.14_1,Kembata Tembaro,ETH.10.14.5_1,Hadero Tunito,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.14_1,Kembata Tembaro,ETH.10.14.6_1,Kacha Bira,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.14_1,Kembata Tembaro,ETH.10.14.7_1,Kedida Gamela,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.14_1,Kembata Tembaro,ETH.10.14.8_1,Tembaro,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.15_1,Konso Special,ETH.10.15.1_1,Konso ,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.16_1,Konta Special,ETH.10.16.1_1,Konta,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.17_1,Segen,ETH.10.17.1_1,Alle,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.18_1,Sheka,ETH.10.18.1_1,Anderacha,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.18_1,Sheka,ETH.10.18.2_1,Masha,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.18_1,Sheka,ETH.10.18.3_1,Masha Town Admin,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.18_1,Sheka,ETH.10.18.4_1,Tepi Town Admin,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.18_1,Sheka,ETH.10.18.5_1,Yeki,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.1_1,Aleta Cheko,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.2_1,Aleta Wendo,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.3_1,Aleta Wondo Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.4_1,Arbegona,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.5_1,Aroresa,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.6_1,Bensa,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.7_1,Bona Zuria,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.8_1,Boricha,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.9_1,Bursa,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.10_1,Chere,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.11_1,Dale,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.12_1,Dara,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.13_1,Gorche,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.14_1,Hawassa Zuria,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.15_1,Hawella Tulla Subsity,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.16_1,Hula,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.17_1,Loko Abeya,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.18_1,Malga,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.19_1,Shebedino,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.20_1,Wendo Genet,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.21_1,Wensho,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.19_1,Sidama,ETH.10.19.22_1,Yirgalem Town Adm.,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.20_1,Silti,ETH.10.20.1_1,Alicho Werero,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.20_1,Silti,ETH.10.20.2_1,Dalocha,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.20_1,Silti,ETH.10.20.3_1,East Azenet Berbere,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.20_1,Silti,ETH.10.20.4_1,Lanfuro,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.20_1,Silti,ETH.10.20.5_1,Sankura,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.20_1,Silti,ETH.10.20.6_1,Silti,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.20_1,Silti,ETH.10.20.7_1,West Azenet Berbere,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.20_1,Silti,ETH.10.20.8_1,Worabe Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.20_1,Silti,ETH.10.20.9_1,Wulbareg,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.21_1,South Omo,ETH.10.21.1_1,Bena Tsemay,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.21_1,South Omo,ETH.10.21.2_1,Dasenech,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.21_1,South Omo,ETH.10.21.3_1,Hamer,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.21_1,South Omo,ETH.10.21.4_1,Jinka Town Admin,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.21_1,South Omo,ETH.10.21.5_1,Male,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.21_1,South Omo,ETH.10.21.6_1,North Ari,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.21_1,South Omo,ETH.10.21.7_1,Nyangatom,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.21_1,South Omo,ETH.10.21.8_1,Selamago,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.21_1,South Omo,ETH.10.21.9_1,South Ari,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.1_1,Areka Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.2_1,Boditi Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.3_1,Boloso Bombe,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.4_1,Boloso Sore,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.5_1,Damot Gale,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.6_1,Damot Pulasa,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.7_1,Damot Sore,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.8_1,Damot Woyide,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.9_1,Deguna Fanigo,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.10_1,Humbo,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.11_1,Kindo Didaye,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.12_1,Kindo Koyisha,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.13_1,Ofa,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.14_1,Sodo Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.22_1,Wolayita,ETH.10.22.15_1,Sodo Zuria,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.23_1,Yem Special ,ETH.10.23.1_1,Yem ,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.23_1,Yem Special ,ETH.10.23.1_1,Yem ,SNNPR
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Central,ETH.11.1.1_1,Abi Adi Town,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Central,ETH.11.1.2_1,Adwa Rural,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Central,ETH.11.1.3_1,Adwa Town,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Central,ETH.11.1.4_1,Ahferom,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Central,ETH.11.1.5_1,Axum Town,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Central,ETH.11.1.6_1,Degua Temben,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Central,ETH.11.1.7_1,Kola Temben,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Central,ETH.11.1.8_1,Laelay Maychew,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Central,ETH.11.1.9_1,Mereb Leke,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Central,ETH.11.1.10_1,Nader Adet,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Central,ETH.11.1.11_1,Tahtay Maychew,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Central,ETH.11.1.12_1,Tanqua Abergele,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Central,ETH.11.1.13_1,Wer'e Leke,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.2_1,Eastern,ETH.11.2.1_1,Adigrat Town,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.2_1,Eastern,ETH.11.2.2_1,Atsbi Wonberta,Tigray
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.2_1,Eastern,ETH.11.2.3_1,Erob,Tigray
